Poland,44,22,0,0,Local transmission,0
Ireland,43,9,1,1,Local transmission,0
Portugal,41,0,0,0,Local transmission,1
Finland,40,0,0,0,Local transmission,2
Georgia,23,0,0,0,Imported cases only,1
RussianFederation,20,13,0,0,Imported cases only,0
Serbia,19,7,0,0,Local transmission,0
Luxembourg,17,12,0,0,Local transmission,0
Croatia,16,0,0,0,Local transmission,1
Latvia,16,8,0,0,Imported cases only,0
Estonia,13,0,0,0,Imported cases only,1
Hungary,13,0,0,0,Local transmission,1
Belarus,12,3,0,0,Local transmission,0
Albania,10,0,0,0,Local transmission,1
Slovakia,10,3,0,0,Local transmission,0
Azerbaijan,9,0,0,0,Imported cases only,5
Bulgaria,7,1,1,1,Local transmission,0
NorthMacedonia,7,0,0,0,Local transmission,2
Cyprus,6,4,0,0,Imported cases only,0
Malta,6,2,0,0,Imported cases only,0
BosniaAndHerzegovina,4,0,0,0,Local transmission,1
RepublicOfMoldova,4,1,0,0,Imported cases only,0
Lithuania,3,2,0,0,Imported cases only,0
Andorra,1,0,0,0,Imported cases only,9
Armenia,1,0,0,0,Imported cases only,10
HolySee,1,0,0,0,Underinvestigation,6
Liechtenstein,1,0,0,0,Imported cases only,6
Monaco,1,0,0,0,Under investigation,11
Turkey,1,1,0,0,Imported cases only,0
Ukraine,1,0,0,0,Imported cases only,8
FaroeIslands,2,0,0,0,Imported cases only,3
Gibraltar,1,0,0,0,Under investigation,8
Guernsey,1,0,0,0,Imported cases only,2
India,73,13,0,0,Local transmission,0
Thailand,70,11,1,0,Local transmission,0
Indonesia,34,7,1,0,Local transmission,0
Maldives,8,0,0,0,Local transmission,1
Bangladesh,3,0,0,0,Local transmission,3
SriLanka,2,1,0,0,Imported cases only,0
Bhutan,1,0,0,0,Imported cases only,6
Nepal,1,0,0,0,Imported cases only,48
Iran(IslamicRepublicof),9000,958,354,63,Local transmission,0
Qatar,262,238,0,0,Local transmission,0
Bahrain,189,79,0,0,Local transmission,0
Kuwait,80,11,0,0,Local transmission,0
UnitedArabEmirates,74,0,0,0,Local transmission,1
Iraq,70,9,7,1,Local transmission,0
Egypt,67,8,1,0,Local transmission,0
Lebanon,66,25,3,2,Local transmission,0
SaudiArabia,21,1,0,0,Local transmission,0
Pakistan,19,3,0,0,Imported cases only,0
Oman,18,0,0,0,Imported cases only,2
Afghanistan,7,3,0,0,Imported cases only,0
Tunisia,6,0,0,0,Local transmission,1
Morocco,5,2,1,0,Local transmission,0
Jordan,1,0,0,0,Imported cases only,9
occupiedPalestinianterritory,30,0,0,0,Local transmission,1
UnitedStatesofAmerica,987,291,29,4,Local transmission,0
Canada,93,0,1,0,Local transmission,1
Brazil,52,18,0,0,Local transmission,0
Chile,23,6,0,0,Local transmission,0
Argentina,19,2,1,0,Imported cases only,0
Ecuador,17,2,0,0,Local transmission,0
Peru,17,6,0,0,Local transmission,0
CostaRica,13,0,0,0,Local transmission,1
Mexico,11,4,0,0,Imported cases only,0
Panama,10,2,1,0,Local transmission,0
Colombia,9,6,0,0,Imported cases only,0
DominicanRepublic,5,0,0,0,Imported cases only,2
Paraguay,5,0,0,0,Local transmission,1
Bolivia(PlurinationalStateof),2,0,0,0,Imported cases only,1
Honduras,2,2,0,0,Imported cases only,0
Jamaica,1,0,0,0,Imported cases only,1
FrenchGuiana,5,0,0,0,Imported cases only,4
Martinique,3,0,0,0,Imported cases only,1
SaintMartin,2,0,0,0,Under investigation,9
SaintBarthelemy,1,0,0,0,Under investigation,9
Algeria,25,5,1,1,Local transmission,0
SouthAfrica,13,6,0,0,Imported cases only,0
Senegal,4,0,0,0,Imported cases only,7
BurkinaFaso,2,0,0,0,Imported cases only,1
Cameroon,2,0,0,0,Local transmission,5
Nigeria,2,0,0,0,Imported cases only,3
Côted’Ivoire,1,1,0,0,Imported cases only,0
DemocraticRepublicoftheCongo,1,0,0,0,Imported cases only,1
Togo,1,0,0,0,Imported cases only,5
Diamond Princess,696,0,7,0,Local transmission,4
